leverage,total_return,ann_return,daily_sharpe,max_drawdown,n_liquidated,n_liquidated_wick10,exp_log_growth,boot_p5_return,boot_median_return,boot_p95_return,boot_median_maxdd,boot_p95_maxdd,p_loss
0.5,1.039,0.1634,1.8559,-0.0407,0,0,0.02374,0.4762,1.0166,1.8858,-0.032,-0.0641,0.0
0.75,1.8523,0.2494,1.8569,-0.0607,0,0,0.03494,0.7747,1.8092,3.7484,-0.048,-0.0951,0.0001
1.0,2.9427,0.3384,1.8582,-0.0805,0,0,0.04573,1.1187,2.8691,6.6692,-0.0638,-0.1255,0.0001
1.25,4.3887,0.4302,1.8589,-0.1,0,0,0.05615,1.5135,4.2716,11.1698,-0.0796,-0.1556,0.0001
1.5,6.2918,0.5252,1.8598,-0.1194,0,0,0.06622,1.9638,6.1101,18.0111,-0.0954,-0.1852,0.0001
1.75,8.7653,0.6228,1.8599,-0.1388,0,0,0.07596,2.4776,8.502,28.2825,-0.1111,-0.2139,0.0001
2.0,11.9609,0.7234,1.8601,-0.1578,0,0,0.0854,3.0544,11.5773,43.5091,-0.1268,-0.2418,0.0001
2.25,16.0571,0.8269,1.8602,-0.1765,0,0,0.09454,3.7047,15.5256,65.8154,-0.1424,-0.269,0.0001
2.5,21.2604,0.9333,1.8601,-0.195,0,0,0.10342,4.4231,20.4971,97.8037,-0.1584,-0.2955,0.0001
2.75,27.8333,1.0425,1.86,-0.2134,0,0,0.11204,5.2073,26.8089,144.4293,-0.1736,-0.3215,0.0001
3.0,36.0596,1.1544,1.8597,-0.2316,0,0,0.12041,6.0814,34.7014,209.5983,-0.189,-0.347,0.0001
3.25,46.3032,1.269,1.8593,-0.2496,0,0,0.12854,7.0452,44.4093,301.6082,-0.2045,-0.372,0.0002
3.5,58.982,1.3864,1.8589,-0.2674,0,0,0.13646,8.0859,56.3981,429.0048,-0.2197,-0.3966,0.0002
3.75,74.5505,1.5064,1.8584,-0.285,0,0,0.14415,9.2666,71.0686,606.3218,-0.2341,-0.4204,0.0003
4.0,93.5959,1.629,1.858,-0.3025,0,0,0.15165,10.5314,89.0692,850.0338,-0.2489,-0.4436,0.0003
4.25,116.7435,1.7541,1.8575,-0.3198,0,0,0.15894,11.8519,110.823,1177.2495,-0.2644,-0.4663,0.0003
4.5,144.6653,1.8815,1.8569,-0.3369,0,0,0.16604,13.3325,136.9629,1617.9206,-0.2795,-0.4885,0.0003
4.75,178.2968,2.0115,1.8564,-0.354,0,0,0.17296,14.8578,168.6612,2208.4682,-0.294,-0.5101,0.0003
5.0,218.4902,2.1438,1.8559,-0.3708,0,0,0.1797,16.5919,206.6234,2993.8058,-0.3096,-0.5312,0.0004
5.25,266.1927,2.2779,1.8553,-0.3875,0,0,0.18626,18.278,251.3373,4064.3198,-0.3237,-0.552,0.0005
5.5,322.6707,2.4142,1.8547,-0.4039,0,0,0.19266,19.9844,304.9438,5453.7824,-0.3385,-0.5725,0.0005
5.75,389.2616,2.5526,1.8542,-0.4202,0,0,0.19889,22.0041,368.2299,7228.6297,-0.3531,-0.5921,0.0005
6.0,467.403,2.6931,1.8538,-0.4363,0,0,0.20497,24.0357,443.1222,9574.5794,-0.3671,-0.6112,0.0006
