leverage,total_return,ann_return,daily_sharpe,max_drawdown,n_liquidated,n_liquidated_wick10,exp_log_growth,boot_p5_return,boot_median_return,boot_p95_return,boot_median_maxdd,boot_p95_maxdd,p_loss
0.5,0.3594,0.0709,0.7553,-0.0683,0,0,0.00991,0.0435,0.3584,0.803,-0.067,-0.1342,0.0259
0.75,0.5677,0.1056,0.7651,-0.1015,0,0,0.01451,0.0576,0.5658,1.3833,-0.0996,-0.1959,0.0282
1.0,0.796,0.1397,0.7751,-0.1341,0,0,0.01889,0.0664,0.7937,2.1225,-0.1315,-0.2546,0.0308
1.25,1.0427,0.1729,0.7841,-0.1659,0,0,0.02305,0.0711,1.0397,3.0516,-0.1628,-0.3103,0.0336
1.5,1.3092,0.2054,0.7933,-0.1972,0,0,0.02701,0.0687,1.3049,4.2092,-0.1936,-0.363,0.0364
1.75,1.5946,0.2372,0.8025,-0.2278,0,0,0.03076,0.0614,1.591,5.6632,-0.2239,-0.4122,0.0386
2.0,1.8966,0.268,0.8113,-0.2579,0,0,0.03432,0.0515,1.8929,7.4376,-0.2536,-0.4591,0.042
2.25,2.215,0.2979,0.8201,-0.2873,0,0,0.03769,0.0358,2.2096,9.61,-0.2826,-0.5034,0.0452
2.5,2.5487,0.3268,0.8288,-0.3161,0,0,0.04088,0.0128,2.5428,12.2301,-0.3109,-0.5456,0.0477
2.75,2.8957,0.3547,0.8376,-0.3442,0,0,0.04388,-0.0111,2.8956,15.3462,-0.3388,-0.5844,0.0519
3.0,3.2512,0.3814,0.8461,-0.3718,0,0,0.04671,-0.0402,3.253,19.1562,-0.3661,-0.6207,0.0556
3.25,3.6149,0.4069,0.8547,-0.3986,0,0,0.04936,-0.0751,3.6284,23.6525,-0.3927,-0.6546,0.0589
3.5,3.9845,0.4313,0.8633,-0.425,0,0,0.05184,-0.1129,4.005,29.0569,-0.4187,-0.6861,0.0635
3.75,4.3536,0.4543,0.8719,-0.4507,0,0,0.05415,-0.1497,4.3766,35.3779,-0.4445,-0.7158,0.0672
4.0,4.7204,0.476,0.8804,-0.4758,0,0,0.05629,-0.1895,4.758,42.3823,-0.4696,-0.7428,0.0726
4.25,5.0818,0.4963,0.8891,-0.5004,0,0,0.05827,-0.2367,5.1411,50.8312,-0.4943,-0.768,0.0772
4.5,5.4336,0.5152,0.8978,-0.5243,0,0,0.06008,-0.2803,5.4923,60.2895,-0.5178,-0.7921,0.0817
4.75,5.7708,0.5326,0.9066,-0.5477,0,0,0.06172,-0.3264,5.8265,70.8899,-0.5409,-0.8146,0.0868
5.0,6.0868,0.5483,0.9153,-0.5705,0,0,0.0632,-0.3755,6.1484,83.2634,-0.5638,-0.835,0.0924
5.25,6.3797,0.5624,0.9241,-0.5927,0,1,0.06451,-0.4217,6.4552,97.2301,-0.5863,-0.8531,0.0982
5.5,6.6445,0.5747,0.933,-0.6142,0,2,0.06565,-0.4692,6.7334,113.0313,-0.6082,-0.8706,0.1047
5.75,6.8806,0.5854,0.942,-0.6352,0,3,0.06663,-0.5135,7.004,130.4398,-0.6295,-0.8861,0.1112
6.0,7.0796,0.5943,0.9511,-0.6557,0,4,0.06743,-0.5557,7.2216,150.5594,-0.6504,-0.8997,0.1177
